filePath,transcript
2_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231220094331.wav,तेन थाउजेंड क्वांटिटी?
10_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,मैसेज आया ...चलो कर दो मैंने बोल दिया तो कर दो इस पर तरय कर दो और...
13_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,अभी मार्केट कैसा है?
4_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231204093811.wav,निफ्टी की सारी? ठीक
7_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,"अब बताओ सॉरी, सॉरी, सॉरी "
2_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231204093811.wav,"हाँ, हेलो"
3_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214095826.wav,फिर निपटी की?
8_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,"अच्छा स्क्वायर का मैसेज तो सुबह ही आया था उसका, की स्क्वायर उप आल"
14_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,यह यह इसको कर दो इक्कीस पाक्सो को स्क्वायर उप कार्डो नो प्रॉब्लम
5_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129130744.wav,"अच्छा, ठीक है"
2_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214095826.wav,"आह, वह निफ्टी की पुरानी पोजीशन है, स्क्वायर उप कर दो"
12_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,अभी मार्केट कैसा है आज?
8_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,तरय करनी है ?
3_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,"हाँ सर, गोपाल सार वह है न आपकी कॉल पड़ी, इक्कीस पाक्सो की "
7_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,"नहीं नहीं वह तो अपनी सैंतालीस रुपये की थी तो साठ रुपये, सत्तर रुपए तक आई थी वापस अब निचा आई "
13_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,"ठीक है, अभी कुछ नहीं करूँगा"
5_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231204093811.wav,ठीक है 
6_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,अभी तो लोग ही चल रहा होगा तुम्हारा?
2_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,बोलो
4_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,"हाँ, तो क्या करना उसका?"
3_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231220094331.wav,"अच्छे, चलो ठीक है, अभी सर ये ऊपर आ गया होगा, अगर नीचे आती है तो फिर मैं बाय करता हूँ इसको ठीक है? जट टू ओएचएन में"
4_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,सर कुछ करना पोयिशन?
2_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,सर गोपाल 
3_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129130744.wav,"सर यह जो आपने कहा था ना बीस चारसो की कॉल और उन्नीस पांचसो की पोर्ट रिपोर्ट साधी समरी की ये बेच दी है बावन सौ पचास, बावन सौ पचास, उनतीस, और बाईस पैसे में कॉल बिकी है "
6_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,हाँ गोपाल बोलो तुम्हारी आवाज ही नहीं आई।
5_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,सर गोपाल बोल रहा हूँ?
4_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214095826.wav,"जेट टू ओएचन में, ठीक है? यह यह"
12_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231214101221.wav,"हाँ, तो अब उसे दुबारा करने से पहले एक बार मैं उसे मिलूँगा फिर बताऊँगा।"
9_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,हांजी देखो 
4_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129130744.wav,उपवार्ड बिकी है चौड़ा सौ पंदरा पैसे की एवरेज में
5_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231220094331.wav,"चलो, ठीक है, ओके "
4_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129130357.wav,यह
2_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129130744.wav,है बोलो 
14_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,तेज हो गया सर एक सो दस पंट प्लस मे
5_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129130357.wav,यह भी इतना यह ठीक है तू एच ऍन में यह भी करते हैं
3_VoiceLogger_outgoing_clicktocall_1143051609_9811081822_20231129094605.wav,सर गोपाल बोल रहा हूँ गुड मॉर्निंग  
